item	item_index	0	1	2	3	4	5	model	lang
Whether or not someone suffered emotionally	1	0.03744778037071228	0.04613686725497246	0.17075657844543457	0.4738491177558899	0.16484194993972778	0.10696769505739212	joeddav/xlm-roberta-large-xnli	en
Whether or not some people were treated differently than others	2	0.0328790582716465	0.03419988229870796	0.23054027557373047	0.49185889959335327	0.12766343355178833	0.08285844326019287	joeddav/xlm-roberta-large-xnli	en
Whether or not someone’s action showed love for his or her country	3	0.023914305493235588	0.019898757338523865	0.15642139315605164	0.5620447993278503	0.13999919593334198	0.09772153943777084	joeddav/xlm-roberta-large-xnli	en
Whether or not someone showed a lack of respect for authority	4	0.046013157814741135	0.06277646124362946	0.23892860114574432	0.4576700031757355	0.11743541806936264	0.07717636972665787	joeddav/xlm-roberta-large-xnli	en
Whether or not someone violated standards of purity and decency	5	0.03917262703180313	0.04329262673854828	0.14194248616695404	0.5083336234092712	0.16397720575332642	0.10328146815299988	joeddav/xlm-roberta-large-xnli	en
Whether or not someone was good at math	6	0.026490002870559692	0.039349354803562164	0.1996564120054245	0.4652245044708252	0.16776393353939056	0.1015157476067543	joeddav/xlm-roberta-large-xnli	en
Whether or not someone cared for someone weak or vulnerable	7	0.02634437009692192	0.04718445986509323	0.23521332442760468	0.5290783643722534	0.10257995873689651	0.05959946662187576	joeddav/xlm-roberta-large-xnli	en
Whether or not someone acted unfairly	8	0.03950031101703644	0.05063812434673309	0.20925754308700562	0.4412763714790344	0.1559329628944397	0.10339474678039551	joeddav/xlm-roberta-large-xnli	en
Whether or not someone did something to betray his or her group	9	0.028412826359272003	0.031471893191337585	0.20702040195465088	0.4829723834991455	0.1521826535463333	0.09793990105390549	joeddav/xlm-roberta-large-xnli	en
Whether or not someone conformed to the traditions of society	10	0.015735182911157608	0.01362029742449522	0.11872416734695435	0.6678152084350586	0.11682228744029999	0.06728285551071167	joeddav/xlm-roberta-large-xnli	en
Whether or not someone did something disgusting	11	0.03773707151412964	0.0805276557803154	0.15360601246356964	0.5000124573707581	0.1435193121433258	0.08459747582674026	joeddav/xlm-roberta-large-xnli	en
Whether or not someone was cruel	12	0.041497357189655304	0.0649820864200592	0.22714447975158691	0.44360166788101196	0.1395028531551361	0.0832715630531311	joeddav/xlm-roberta-large-xnli	en
Whether or not someone was denied his or her rights	13	0.029994070529937744	0.03330567106604576	0.19181814789772034	0.5450146794319153	0.11834342032670975	0.08152405172586441	joeddav/xlm-roberta-large-xnli	en
Whether or not someone showed a lack of loyalty	14	0.04456925764679909	0.06420406699180603	0.22327476739883423	0.42818552255630493	0.14278154075145721	0.09698483347892761	joeddav/xlm-roberta-large-xnli	en
Whether or not an action caused chaos or disorder	15	0.03176221251487732	0.026723921298980713	0.183153435587883	0.46088483929634094	0.1843104511499405	0.11316512525081635	joeddav/xlm-roberta-large-xnli	en
"Whether or not someone acted in a way that God would approve of	"	16	0.020336460322141647	0.015932727605104446	0.09943188726902008	0.5101034045219421	0.23161523044109344	0.12258030474185944	joeddav/xlm-roberta-large-xnli	en
Whether or not someone suffered emotionally	1	0.013105904683470726	0.01656465046107769	0.2689701318740845	0.43214234709739685	0.15732984244823456	0.1118871346116066	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not some people were treated differently than others	2	0.010313017293810844	0.013707411475479603	0.3024018406867981	0.4383811354637146	0.1365988701581955	0.09859776496887207	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not someone’s action showed love for his or her country	3	0.010326032526791096	0.015622475184500217	0.2947370707988739	0.4592616558074951	0.12971605360507965	0.09033674746751785	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
